,Date / Time,City,State,Shape,Duration,Summary,Posted
,10/7/18 19:45,Salinas,CA,Fireball,10 minutes,"fireball shaped object. ((NUFORC Note: We suspect witness was looking south, watching a missile launch. PD))",10/12/18
,10/7/18 19:44,Rohnert Park,CA,Other,5 minutes,Object leaving trails in night sky. ((NUFORC Note: Launch of Falcon 9 rocket from Vandenberg AFB. PD)),10/12/18
,10/7/18 19:35,Pahrump,NV,Triangle,1 minute,Weird unmoving divided white triangle of light over southern Pahrump at the edge of BLM land towards the mountains to the south,10/12/18
,10/7/18 19:33,Eldorado Hills,CA,Other,15 minutes,"A very small, circular shape was seen casting down onto the apartment complexes in eldorado hills. It shone two bright, conelike beams",10/12/18
,10/7/18 19:30,Oxnard,CA,Light,~20 minutes,The UFO was like a bright giant spotlight very slowly drifting in an westerly direction high above the 101 FWY and the Vineyard Ave. &,10/12/18
,10/7/18 19:30,Benson,AZ,Circle,5 minutes,Driving toward Tucson West on I-10. Circular with 3 bright white beams of light in rear shooting out long beams that left a trail. Hove,10/12/18
,10/7/18 19:30,Walnut Creek,CA,Circle,5 minutes,Extremely bight light in the night sky that slowly moved away was able to light up a large area with two beams,10/12/18
,10/7/18 19:30,Auburn,CA,Light,5 minutes,Craft that looked.like a bright star was seen in the sky stationary and unmoving for appox 3 minutes with starlike rays of light emina,10/12/18
,10/7/18 19:30,Cottonwood,CA,Light,15 minutes,Low in horizon a very bright light that streamed a foggy like light at the L and R sides. ((NUFORC Note: Rocket launch. PD)),10/12/18
,10/7/18 19:30,Cathedral City,CA,,5 minutes,"strange light with arck-like light lighting up sky, stayed stationary for approx 4/5 min then seem to fall slowly out of sight... not a",10/12/18
,10/7/18 19:30,Sebastopol,CA,Circle,5 minutes,((NUFORC Note: Launch of Falcon 9 rocket from Vandenberg AFB. PD)),10/12/18
,10/7/18 19:30,Santa Rosa,CA,Light,~20 minutes,"Semi-cloaked huge light ball in Santa Rosa emmits light swirls in circular pattern facing earth ,then upwards then vanished.",10/12/18
,10/7/18 19:30,Willows,CA,Light,15 minutes,Witnessed a light that went up surrounded by fog in a v shape hovered for 12-15 minutes then descended with fog taking the opposite sha,10/12/18
,10/7/18 19:27,La Quinta,CA,Triangle,5 minutes,"3 lights emanating from 1 source, forming a triangle in the sky, moving from the N to the SW. Then-just disappear ((anonymous rept.))",10/12/18
,10/7/18 19:26,San Pedro,CA,,,weird lights in the sky of san pedro last night. I have pictures if i can only upload them. ((NUFORC Note: Rocket launch. PD)),10/12/18
,10/7/18 19:25,Stockton,CA,Other,2 minutes,Big light able to maneuver. Made no sound. ((NUFORC Note: Launch of the Falcon 9 rocket. PD)),10/12/18
,10/7/18 19:25,Hayward/San Lorenzo,CA,Unknown,Minutes,"This thing was brighter, bigger, more in the distance, looked as if it was surrounded by smoke. ((NUFORC Note: Falcon 9 launch. PD))",10/12/18
,10/7/18 19:22,Long Beach,CA,Light,20 minutes,I saw at least a dozen people pointing up to the sky; pointing and gasping. ((NUFORC Note: Launch of the Falcon 9 rocket. PD)),10/12/18
,10/7/18 19:22,Sacramento,CA,Light,3 minutes,"Bright, square white light, flared, then dissolved. ((NUFORC Note: Rocket launch??? PD))",10/12/18
,10/7/18 19:20,Lake California (Cottonwood),CA,Cone,Several minutes,"Two bright cone shaped cloud like patterns trailing very bright object flying, pausing. ((NUFORC Note: Launch of Falcon 9. PD))",10/12/18
,10/7/18 19:15,Lahania,HI,Circle,2 minutes,"Over ocean. Disk, standing still rotating for a few minutes, changed colors, moves 1800 +- meters in less then a second horizontal.",10/12/18
,10/7/18 19:00,Cloverdate,CA,Sphere,unsure,"White orb composed of strings of light in rural mountainous area of Sonoma Co., CA. ((NUFORC Note: Rocket launch. PD))",10/12/18
,10/7/18 18:10,Petaluma,CA,Formation,30-60 minutes,Within the skies during the beginning of this given time frame: small orb-like circle is summoned. 2 still diamond shape figures are af,10/12/18
,10/7/18 16:45,Hot Springs,VA,Sphere,3 minutes,Myself and another individual were talking in my back yard when a bright silver spherical shaped object caught my eye it was flying fai,10/12/18
,10/7/18 05:45,Trio,SC,Circle,2-3 minutes,Red orb of light.,10/12/18
,10/7/18 04:00,Taylor,MI,Circle,10 minutes?,"Orb or craft high in night sky. Oct 7, 2018. ((anonymous report))",10/18/18
,10/7/18 03:26,Athol,ID,Circle,"Athol, ID 3:26",Seen a bright object in two separate pictures. Have two pictures of the bright circle. ((NUFORC Note: Lens flares. PD)),10/12/18
,10/7/18 02:00,Ocean Isle Beach,NC,Disk,1 hour,"At approximately 2:00 i could not sleep because I witnessed many craft the previous night but, I could not pick them up because they w",10/12/18
,10/6/18 00:00,Castro Valley,CA,Diamond,1 hour,A strange craft in the night sky with white and colored lights is just hanging over southern Alameda county. It is not moving but high,10/12/18
,10/6/18 22:00,Walsenburg,CO,Circle,2-3 minutes,"Facing the Sangre DeCristo mount range, in the Navajo housing community, which is under a disclosed Air Force testing and training zone",10/12/18
,10/6/18 21:30,Exeter,NH,Fireball,30-40 minutes,"8 red burning orbs from south to north, below the cloud cover. ((NUFORC Note: Possible sky lanterns??? PD))",10/12/18
,10/6/18 21:00,Sarasota,FL,Diamond,6 minutes,At approx 21:00 10/6 10-12 2ft orange shapes following in a line about 30 ft apart from east going west. above hillview st by sarasota,10/12/18
,10/6/18 20:30,Lovelock,NV,Light,20 minutes,"Light over NV desert extends 6 distinc beams of light before disappearing, leaving an “exhaust” trail",10/12/18
,10/6/18 19:30,Gilroy,CA,Rectangle,4 minutes,I got out of my truck and looked at this flair like someone was holding a flash light in the sky. ((NUFORC Note: Rocket launch. PD)),10/12/18
,10/6/18 18:30,Seebert,WV,Other,30 seconds,"Two white objects. Shape was difficult to discern, objects were close together with little separation between both. Sky was blue and ma",10/12/18
,10/6/18 09:30,Surfside Beach,SC,Formation,15 seconds,"V formation, silent, slow moving, low in air, maybe 8 lights.",10/12/18
,10/6/18 07:30,Hawthorne,CA,Triangle,3 minutes,"two lights almost as if fighting each other. Red ligh move almost in aquatic manner, then burned out like signal flare. white light s",10/12/18
,10/6/18 02:36,Lawrenceville,GA,Light,1 hour,"Object with blinking white blue green red lights that stayed stationary. ((NUFORC Note: ""Twinkling"" star?? PD)) ((anonymous report))",10/6/18
,10/6/18 01:15,Grand Falls (Canada),NB,Light,35 seconds,"Driving home and a gigantic ball of bright white light in the sky, actually blinded us , it went out, then 5 seconds later appeared aga",10/12/18
,10/6/18 01:00,North Charleston,SC,Unknown,2 minutes,"Bright light, not changing, moving fast and low, completely silent.",10/6/18
,10/5/18 23:50,Hamilton,OH,Circle,2 minutes,"Last night, I saw a bright pinkish red light in the sky. It pulsed irregularly. Moved from W to E.",10/6/18
,10/5/18 21:00,Tiverton,RI,Diamond,none,Lights were coming down int a point from both sides of the craft.,10/12/18
,10/5/18 20:00,Church Hill,TN,Light,1 hour,The power had just gone out as me and my boyfriend ate dinner. The sun had went down and it was past dusk. The sky was black with a cou,10/12/18
,10/5/18 20:00,San Mateo,CA,Unknown,2-6 minutes,"Plane like object splitting into 4 pieces on fire, then coming straight down in sky together, seen by other plane which turned around,",10/12/18
,10/5/18 00:00,Lawrenceville,GA,Changing,1 hour,Shape shifting blinking lights that stayed still with no noise. ((anonymous report)),10/6/18
,10/4/18 23:00,Littleton,CO,Light,Current,"Saw 3 sets of 3 lights in triangular format. One stationary, one moving slow, one moving fast. All at different levels. Appeared",10/6/18
,10/4/18 21:30,SE Arizona (I-10 EB),,Disk,2 seconds,Translucent saucer shaped object with bright Peridot green almost hypnotic bright lights on both ends,10/12/18
,10/4/18 21:15,Hickory Grove,SC,Unknown,5 minutes,"As we were heading home on hwy 97west, I saw what appeared to be big bright white blinking lights. I first thought it was an airplan",10/6/18
,10/4/18 21:00,Laurel,MD,Circle,3 seconds,Blue orb in sky.,10/6/18
,10/4/18 20:53,Bozeman,MT,Flash,<2 minutes,In Bozeman on Thursday 10/04/18 around 8:40 pm and 2 friends and I all saw a blue flashing light over entire sky. ((anonymous report)),10/6/18
,10/4/18 20:15,Assumpsic,VT,Triangle,20 minutes,"triangle shaped object with numerous rotaing, flashing colored lights, hovering for about 20 min, in passumpsic vt, 4 9 2018, at 815 pm",10/12/18
,10/4/18 20:00,Stevensville,MD,Light,4 minutes,White ball of light with bluish purple lights on the sides. Made no noise.,10/25/18
,10/4/18 18:00,Concord,NC,Other,15-20 minutes,"Small, rotating, seemingly faceted orb spotted flying more slowly that bird/planes, flew roughly NE, ((anonymous report))",10/6/18
,10/4/18 17:00,Baldwinsville,NY,Flash,5 seconds,"Very intense bright white light, lingered for a second or two then vanished.",10/12/18
,10/4/18 11:11,Windsor Lake,WI,Cigar,2 minutes,white tube shaped object ((anonymous report)),10/6/18
,10/4/18 07:20,Travelers Rest (Outside of; on 25 N),SC,Cigar,20 minutes,It was a white cigar shaped object that sat in a fixed point for over 15 minutes.,10/6/18
,10/4/18 05:45,Largo,Fl,Circle,5 seconds,"While looking at sky before sunrise, I saw a circular, steady light that resembled a bright star. It was stationary just above the tree",10/6/18
,10/4/18 02:04,Hyattsville,MD,Diamond,10 minutes,Smooth electric engine sound flying above home but louder. ((anonymous report)),10/6/18
,10/3/18 20:45,Lancaster,PA,Light,10-15 seconds,"A light ship disappears over Lancaster, PA.",10/6/18
,10/3/18 20:45,Sandy Hook/Stevenson,CT,Triangle,Few minutes,Large lit object cruising at very low altitude over Rt 34 in CT at night - no airport immediately nearby,10/6/18
,10/3/18 20:00,Verdigre,NE,Oval,20 minutes,Bright large light in southern sky over north eastern Nebraska. ((NUFORC Note: Possible sighting of Mars?? PD)),10/6/18
,10/3/18 09:46,Brook Park,OH,,,MADAR Node 04,10/12/18
,10/3/18 05:30,Chandler,AZ,Light,5 minutes,Stationary object that suddenly took off like a rocket.,10/6/18
,10/2/18 22:50,Lynnwood,WA,Light,1-2 seconds,Bright white light moving downwards fast.,10/6/18
,10/2/18 22:05,Pascagoula,MS,Triangle,2 hours,"I watched this ufo for 2 hours.

I watched this ufo on the flight deck of the LHA 7 at the shipyard and it was as bright as a star an",10/6/18
,10/2/18 22:00,Greer,SC,Light,,You could see a series of red lights in motion it was big then it went below the tree line.,10/6/18
,10/1/18 21:45,Fontana,CA,Fireball,~2 minutes,"Saw flashing lights reflecting on my window, it stopped flashing and took the shape of a fireball that dropped smaller flashing lights.",10/6/18
,10/1/18 21:30,Taensa Parish,LA,Other,10 minutes,I noticed on the horizon Facing E what appeared to be 1 to 3 flashing lights in the sky.,10/6/18
,10/1/18 21:30,Elko,NV,Light,4-5 minutes,Was walking dog and looking at stars and saw four flashing red lights moving from south to north in an area north of town called N. 5th,10/6/18
,10/1/18 21:00,Pueblo,CO,Other,Several hours,"3 orbs (gold, green & white) seen over Southernmost Pueblo over several months & currently active Dec. 2018 - Present.",3/14/19
,10/1/18 19:30,Central Point,OR,Light,5 minutes,Light above southern mountains (Ashland area) ((NUFORC Note: Rocket from Vandenberg AFB. PD)),10/12/18
,10/1/18 14:00,Kiev (Ukraine),,Cigar,,UFO sighting in kyiv Ukraine. ((anonymous report)),10/6/18
,10/1/18 12:25,Concord,NH,,,MADAR Node 110,10/6/18
,10/1/18 11:31,Huntington,WV,Light,2 seconds,Green lights in the sky.,10/6/18
,9/30/18 00:00,Pendleton,OR,Light,45 seconds,"I noticed a light moving NE heading SW. Moving very quickly and doing right angle turns, and then heading back SW.",10/6/18
,9/30/18 23:30,Elkmomt,AL,Light,30 seconds,"White Lights seen in Elkmont, Alabama",10/6/18
,9/30/18 21:15,Ghost Ranch,NM,Changing,1 minute,"Large, circular, gauzy light moved in unison with our vehicle, changed shape into an oval, moved obliquely and, finally, straight down",10/18/18
,9/30/18 06:30,Palmer,AK,Light,10 minutes,"((NUFORC Note: Witness provides no information in original report. Date is flawed. Possible ""twinkling"" star?? PD))",10/6/18
,9/30/18 02:00,Arlington,TX,Sphere,10 seconds,"Sphere in sky, looked like the sky was moving.",10/6/18
,9/29/18 23:56,Round Lake,IL,Other,9 seconds,"In Round Lake there has been sightings of lights lately I personally seen them, from a far. ((anonymous report))",10/6/18
,9/29/18 23:00,Cynthiana,KY,Fireball,1 minute,Big ball of fire. It move extremely fast. It was so fast it was almost out of sight by the time I got my cell phone out and snapped a p,10/6/18
,9/29/18 22:00,Browns Mills,NJ,Disk,2-3 minutes,"Flash of light, followed by 2 white disks. ((anonymous report))",10/6/18
,9/29/18 21:15,West Columbia,SC,Light,3 minutes,"Two reddish-orange dots in sky approximately 1 nautical mile away, in a slow moving formation moving ~ 25-35 mph. ((anonymous report))",10/6/18
,9/29/18 20:30,Fremont,CA,Triangle,6 seconds,"This massive triangle shape wing, that was white beneath, which I thought was a jumbo jet for a second. ((anonymous report))",10/6/18
,9/29/18 20:07,Ketchikan,AK,Circle,1 minutes,"We just got home from shopping and it's a clear night, looked up at the stars while getting out of the car and noticed a bright light m",10/6/18
,9/29/18 19:50,Wallingford,CT,Circle,~4 minutes,4 glowing circular objects in the North Western sky near Meriden CT,10/6/18
,9/29/18 19:00,Lockport,NY,Circle,2 minutes,Bright star circle object appered 3 times,10/6/18
,9/29/18 18:00,Deerlodge,TN,Disk,20 seconds,"Video shows two very small dark ""smudges"" moving rapidly across the sky. Possible birds in flight, we suspect. PD))",10/6/18
,9/29/18 18:00,Eighty Four,PA,Oval,10 minutes,Possibly 3 all white objects spotted in washington county Pennsylvania,11/9/18
,9/29/18 03:30,Somers,CT,Unknown,ongoing,"Bright, Red, Illuminated sky, at 3:30 am.",10/6/18
,9/28/18 22:30,Tigard,OR,Light,3 seconds,White light looked like a star moving fast then vanished. Unusual in this area. Never seen this before. ((anonymouf report)),10/6/18
,9/28/18 20:00,Mount Vernon,WA,Triangle,&lt;1min,"Triangular lights, high in the night sky. ((anonymous report))",10/6/18
,9/28/18 15:20,Winslow,ME,Cylinder,10-15 seconds,Fast moving featureless white cylinder shaped craft with no sound.,2/27/19
,9/28/18 11:45,Sahuarita,AZ,Changing,1 hour +,"9/28/2018 Four distinct UFO's spotted in Sahuarita, AZ.",10/6/18
,9/28/18 07:25,Ogden,UT,Cigar,Viewed 5 minutes,"I witnessed the object while driving to work on I-15 overhead due east of the mountains nearOgden, Utah. The time was 07:25. It did not",10/6/18
,9/28/18 06:00,Naples,FL,Sphere,ongoing til dawn,1 spherical shaped UFO with red/green/white lights. Always seen early in the am in the same spot.,10/6/18
,9/27/18 23:55,Conway,AR,,5 mins,The way it darted or flew to the south and then fell. It’s making me question myself first time I have seen anything like it.,10/6/18
,9/27/18 23:00,Walsall (UK/England),,Light,3-4 minutes,Slowly moving round shaped light in clear sky suddenly dissappear very quickly,10/12/18
,9/27/18 21:30,Jamesport,NY,Light,15 minutes,Saw purple light in sky while walking the dog. Took pictures. ((anonymous report)),10/18/18
,9/27/18 21:30,Durham,NC,Circle,,"Fluctuating bright white light in night sky, high up seen from route 147.",10/6/18
,9/27/18 19:00,Wheaton,IL,Diamond,20 minutes,"Four small triangular blimp-like vessels hovering in a square formation, leave in single file.",10/6/18
